@relation 'Attribute DataSet-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Discretize-B2-M-1.0-R3-precision6-weka.filters.unsupervised.attribute.Discretize-B2-M-1.0-R13-precision6-weka.filters.unsupervised.attribute.Discretize-B2-M-1.0-R13-precision6-weka.filters.unsupervised.attribute.Discretize-B2-M-1.0-R13-precision6-weka.filters.unsupervised.attribute.Discretize-B2-M-1.0-R13-precision6-weka.filters.unsupervised.attribute.InterquartileRange-Rfirst-last-O3.0-E6.0-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C15-Llast-weka.filters.unsupervised.attribute.Remove-R14-15'

@attribute Style {Sexy,Casual,vintage,Brief,cute,bohemian,Novelty,Flare,party,sexy,work,OL,fashion}
@attribute Price {Low,High,Average,Medium,very-high,low,high}
@attribute Rating {0-2.5,2.5-5}
@attribute Size {M,L,XL,free,S,small,s}
@attribute Season {Summer,Automn,Spring,Winter,spring,winter,summer,Autumn}
@attribute NeckLine {o-neck,v-neck,boat-neck,peterpan-collor,ruffled,turndowncollor,slash-neck,mandarin-collor,open,sqare-collor,Sweetheart,sweetheart,Scoop,halter,backless,bowneck,NULL}
@attribute SleeveLength {sleevless,Petal,full,butterfly,short,threequarter,halfsleeve,cap-sleeves,turndowncollor,threequater,capsleeves,sleeveless,sleeevless,half,urndowncollor,thressqatar,NULL,sleveless}
@attribute waiseline {empire,natural,null,princess,dropped}
@attribute Material {null,microfiber,polyster,silk,chiffonfabric,cotton,nylon,other,milksilk,linen,rayon,lycra,mix,acrylic,spandex,lace,modal,cashmere,viscos,knitting,sill,wool,model,shiffon}
@attribute FabricType {chiffon,null,broadcloth,jersey,other,batik,satin,flannael,worsted,woolen,poplin,dobby,knitting,flannel,tulle,sattin,organza,lace,Corduroy,wollen,knitted,shiffon,terry}
@attribute Decoration {ruffles,null,embroidary,bow,lace,beading,sashes,hollowout,pockets,sequined,applique,button,Tiered,rivet,feathers,flowers,pearls,pleat,crystal,ruched,draped,tassel,plain,none,cascading}
@attribute 'Pattern Type' {animal,print,dot,solid,null,patchwork,striped,geometric,plaid,leopard,floral,character,splice,leapord,none}
@attribute Recommendation {Yes,No}

@data
Sexy,Average,0-2.5,free,Automn,v-neck,sleevless,natural,polyster,null,lace,patchwork,Yes
Sexy,Average,0-2.5,M,Automn,o-neck,sleevless,empire,cotton,broadcloth,null,print,Yes
Sexy,Average,2.5-5,M,Spring,o-neck,sleevless,natural,null,null,null,solid,No
Casual,Low,0-2.5,L,Summer,o-neck,sleevless,natural,cotton,jersey,null,print,Yes
cute,Low,2.5-5,free,Automn,o-neck,sleevless,natural,polyster,chiffon,sashes,striped,Yes
cute,Low,2.5-5,M,Spring,ruffled,short,empire,chiffonfabric,chiffon,bow,dot,No
Casual,Average,2.5-5,L,Automn,o-neck,sleevless,empire,polyster,chiffon,ruffles,solid,Yes
Casual,Low,0-2.5,M,Spring,o-neck,sleevless,natural,silk,chiffon,applique,solid,No
Casual,Average,2.5-5,L,Automn,o-neck,sleevless,natural,linen,chiffon,ruffles,animal,Yes
Brief,Average,2.5-5,L,Spring,o-neck,sleevless,empire,null,null,bow,solid,No
party,High,2.5-5,M,Spring,o-neck,threequarter,null,null,null,null,print,Yes
Casual,Low,2.5-5,free,Winter,boat-neck,full,natural,cotton,null,null,patchwork,No
vintage,Average,2.5-5,free,Winter,o-neck,full,natural,null,chiffon,null,print,No
Brief,Average,0-2.5,M,Automn,o-neck,short,natural,cotton,null,null,print,Yes
party,Average,2.5-5,M,Winter,o-neck,sleevless,natural,cotton,null,lace,solid,No
Casual,Average,2.5-5,M,Spring,v-neck,short,empire,cotton,null,button,solid,No
Brief,Average,2.5-5,free,Spring,v-neck,sleevless,natural,cotton,broadcloth,lace,solid,No
Brief,Low,2.5-5,L,Automn,o-neck,halfsleeve,natural,rayon,chiffon,sashes,solid,Yes
Casual,Average,2.5-5,M,Winter,o-neck,short,natural,lycra,broadcloth,applique,patchwork,Yes
Casual,Low,2.5-5,free,Spring,o-neck,sleevless,natural,cotton,null,null,print,Yes
vintage,Average,2.5-5,M,Winter,o-neck,sleevless,natural,cotton,null,null,patchwork,No
Sexy,Average,0-2.5,M,Winter,o-neck,short,natural,null,null,lace,solid,Yes
Sexy,Average,2.5-5,L,Spring,v-neck,threequarter,empire,polyster,null,lace,geometric,Yes
Casual,Average,0-2.5,M,Summer,o-neck,halfsleeve,natural,cotton,chiffon,ruffles,dot,No
Casual,Low,2.5-5,M,Summer,o-neck,sleevless,empire,milksilk,null,null,solid,Yes
Casual,Medium,0-2.5,L,Winter,boat-neck,full,empire,null,null,null,solid,No
Sexy,Low,2.5-5,free,Summer,v-neck,sleevless,empire,null,chiffon,null,animal,No
Casual,Low,2.5-5,free,Summer,o-neck,sleevless,null,milksilk,null,null,animal,Yes
Casual,Average,0-2.5,L,Spring,o-neck,halfsleeve,natural,polyster,chiffon,hollowout,solid,No
Casual,Average,2.5-5,free,Automn,o-neck,sleevless,natural,polyster,chiffon,sashes,solid,No
sexy,Average,2.5-5,M,Spring,o-neck,threequarter,natural,polyster,null,lace,geometric,Yes
Novelty,Average,0-2.5,S,Winter,turndowncollor,full,natural,cotton,null,null,patchwork,Yes
Casual,Average,2.5-5,S,Winter,turndowncollor,full,natural,cotton,null,null,solid,No
sexy,Low,2.5-5,L,Automn,o-neck,sleevless,natural,null,null,lace,solid,No
bohemian,Low,2.5-5,M,Summer,v-neck,sleevless,natural,polyster,null,null,print,No
work,Average,0-2.5,M,Automn,slash-neck,sleevless,natural,polyster,null,bow,patchwork,Yes
cute,High,0-2.5,M,Spring,v-neck,full,natural,rayon,null,null,solid,No
Casual,Average,0-2.5,free,Spring,o-neck,short,natural,cotton,null,hollowout,plaid,Yes
Casual,Average,2.5-5,M,Summer,o-neck,short,empire,polyster,chiffon,null,animal,Yes
Casual,Average,2.5-5,M,spring,o-neck,sleevless,natural,null,chiffon,sashes,solid,Yes
Sexy,Low,2.5-5,S,Automn,o-neck,sleevless,empire,cotton,null,null,solid,No
Casual,Average,2.5-5,M,Automn,v-neck,short,natural,cotton,broadcloth,beading,solid,Yes
Casual,Low,0-2.5,free,Summer,v-neck,halfsleeve,natural,silk,broadcloth,applique,solid,Yes
Casual,Medium,2.5-5,S,Winter,o-neck,full,natural,polyster,null,null,patchwork,No
work,Average,2.5-5,L,Summer,v-neck,short,natural,polyster,null,hollowout,solid,Yes
Casual,Medium,0-2.5,M,Automn,v-neck,short,empire,polyster,null,null,solid,Yes
bohemian,Average,2.5-5,free,Summer,v-neck,sleevless,natural,cotton,batik,null,print,No
sexy,Low,0-2.5,M,Spring,v-neck,short,natural,polyster,satin,ruffles,solid,No
Sexy,Average,2.5-5,M,Winter,v-neck,sleevless,natural,cotton,flannael,null,solid,Yes
Casual,Low,2.5-5,free,Spring,o-neck,full,natural,cotton,worsted,lace,solid,Yes
Casual,Low,2.5-5,S,Automn,o-neck,sleevless,natural,polyster,null,null,solid,Yes
Casual,Low,2.5-5,L,Spring,o-neck,short,null,chiffonfabric,chiffon,bow,dot,Yes
Casual,Average,2.5-5,XL,Winter,boat-neck,full,null,cotton,null,null,geometric,No
Casual,Low,0-2.5,free,Spring,v-neck,sleevless,null,cotton,null,null,print,Yes
Casual,Average,0-2.5,free,Spring,o-neck,sleevless,natural,null,chiffon,null,solid,Yes
bohemian,very-high,2.5-5,free,Winter,v-neck,sleevless,null,polyster,null,null,null,No
Casual,Low,2.5-5,M,Summer,v-neck,sleevless,empire,polyster,chiffon,ruffles,animal,Yes
party,Average,2.5-5,M,Spring,v-neck,sleevless,natural,polyster,chiffon,hollowout,solid,Yes
Sexy,Low,2.5-5,free,Spring,o-neck,full,natural,cotton,worsted,null,striped,Yes
vintage,Low,2.5-5,M,Summer,o-neck,short,natural,null,chiffon,null,print,Yes
Casual,Average,0-2.5,free,Winter,o-neck,halfsleeve,empire,polyster,chiffon,hollowout,solid,Yes
Casual,low,2.5-5,L,Summer,boat-neck,short,null,null,chiffon,null,patchwork,No
Casual,Low,0-2.5,S,Automn,o-neck,full,natural,null,null,beading,solid,No
Sexy,Average,2.5-5,S,Automn,v-neck,sleevless,null,rayon,chiffon,null,patchwork,No
Sexy,Low,2.5-5,M,Automn,o-neck,full,natural,null,chiffon,lace,print,No
Brief,Average,2.5-5,M,Winter,peterpan-collor,threequarter,null,cotton,null,null,solid,Yes
Casual,Average,0-2.5,L,Spring,boat-neck,sleevless,natural,cotton,null,applique,patchwork,No
Casual,Average,2.5-5,L,Winter,o-neck,short,natural,cotton,null,pockets,solid,No
OL,Medium,0-2.5,M,Winter,mandarin-collor,halfsleeve,natural,cotton,null,sashes,solid,Yes
Sexy,Low,2.5-5,M,Spring,o-neck,halfsleeve,natural,silk,null,null,solid,Yes
Casual,Medium,0-2.5,S,Spring,v-neck,full,null,null,null,null,animal,No
Casual,Medium,0-2.5,M,Spring,v-neck,threequarter,natural,silk,chiffon,ruffles,solid,No
Casual,Average,0-2.5,M,Spring,o-neck,sleevless,natural,silk,null,null,print,Yes
Casual,Average,0-2.5,free,Winter,v-neck,full,natural,null,chiffon,ruffles,print,Yes
vintage,Low,2.5-5,S,Summer,o-neck,short,natural,null,chiffon,ruffles,print,Yes
Sexy,Low,2.5-5,L,Summer,v-neck,full,natural,cotton,jersey,applique,print,No
fashion,Average,2.5-5,free,Summer,open,full,null,cotton,null,sequined,solid,Yes
Casual,Average,2.5-5,L,Summer,v-neck,short,natural,null,null,null,print,No
Casual,Low,0-2.5,free,Winter,o-neck,halfsleeve,natural,polyster,worsted,null,patchwork,No
bohemian,Low,2.5-5,free,Summer,o-neck,short,null,null,null,null,animal,No
work,Medium,2.5-5,L,Winter,sqare-collor,short,empire,cotton,null,Tiered,solid,Yes
vintage,Average,2.5-5,L,Summer,o-neck,short,natural,cotton,null,button,solid,Yes
cute,Low,2.5-5,M,Spring,o-neck,short,empire,polyster,chiffon,ruffles,dot,No
Casual,Low,2.5-5,free,Automn,o-neck,full,natural,cotton,null,null,solid,No
Casual,Medium,0-2.5,free,Spring,o-neck,sleevless,natural,cotton,broadcloth,sequined,solid,No
Casual,Average,2.5-5,L,Automn,o-neck,halfsleeve,null,null,null,lace,null,Yes
Sexy,Average,0-2.5,L,Automn,v-neck,sleevless,empire,null,chiffon,null,patchwork,Yes
Casual,Low,2.5-5,free,Winter,o-neck,sleevless,natural,cotton,jersey,null,solid,No
Casual,Average,0-2.5,M,Automn,o-neck,short,empire,polyster,null,applique,print,Yes
cute,Average,2.5-5,L,Automn,slash-neck,sleevless,natural,null,chiffon,hollowout,solid,Yes
party,Average,2.5-5,M,Spring,o-neck,halfsleeve,natural,null,null,null,null,No
cute,Average,2.5-5,L,Winter,o-neck,sleevless,natural,null,chiffon,null,solid,Yes
Casual,Average,2.5-5,L,Spring,o-neck,short,natural,cotton,chiffon,null,patchwork,Yes
Casual,Low,2.5-5,L,Automn,o-neck,full,null,cotton,chiffon,lace,print,Yes
Casual,Low,2.5-5,free,Automn,v-neck,short,natural,silk,worsted,lace,solid,Yes
sexy,Average,2.5-5,L,Winter,v-neck,full,natural,polyster,woolen,beading,solid,No
work,Average,2.5-5,L,Winter,v-neck,short,natural,mix,broadcloth,lace,solid,Yes
vintage,Average,0-2.5,free,Summer,o-neck,sleevless,null,null,null,null,null,Yes
Sexy,Low,2.5-5,free,Spring,o-neck,full,natural,null,null,lace,leopard,No
Sexy,Low,0-2.5,free,Winter,v-neck,sleevless,empire,cotton,chiffon,null,solid,No
work,Average,2.5-5,L,Spring,o-neck,short,empire,cotton,jersey,null,patchwork,Yes
Casual,Average,2.5-5,M,Summer,o-neck,short,empire,null,null,lace,patchwork,Yes
cute,Low,2.5-5,M,Automn,o-neck,short,natural,chiffonfabric,chiffon,bow,dot,Yes
Sexy,Low,2.5-5,free,Summer,v-neck,sleevless,natural,cotton,broadcloth,beading,solid,Yes
party,Average,2.5-5,free,Automn,v-neck,threequarter,natural,null,null,null,solid,Yes
Casual,Average,0-2.5,free,Spring,o-neck,short,null,cotton,null,lace,null,No
Casual,Low,0-2.5,M,Summer,v-neck,full,natural,acrylic,null,lace,solid,Yes
Sexy,Average,2.5-5,M,Winter,o-neck,full,natural,polyster,null,null,patchwork,No
work,Average,2.5-5,M,Spring,v-neck,full,null,null,chiffon,null,null,Yes
cute,Average,2.5-5,L,Winter,o-neck,sleevless,natural,chiffonfabric,null,lace,solid,Yes
bohemian,Average,2.5-5,L,Automn,o-neck,sleevless,natural,null,chiffon,null,solid,Yes
cute,High,0-2.5,M,Winter,o-neck,threequarter,empire,silk,chiffon,lace,patchwork,Yes
Casual,Average,0-2.5,XL,Winter,o-neck,short,empire,polyster,null,button,solid,Yes
Novelty,Average,2.5-5,L,Automn,o-neck,short,natural,polyster,chiffon,null,print,No
Casual,Low,2.5-5,M,Automn,o-neck,full,null,cotton,null,null,solid,Yes
cute,Average,2.5-5,free,Summer,boat-neck,sleevless,null,null,null,null,null,No
Sexy,Low,0-2.5,free,Automn,slash-neck,short,empire,null,null,hollowout,solid,Yes
cute,Low,2.5-5,XL,Summer,o-neck,short,empire,chiffonfabric,chiffon,bow,print,Yes
Sexy,low,2.5-5,L,Spring,o-neck,sleevless,null,null,null,lace,solid,Yes
Casual,Average,2.5-5,M,Automn,o-neck,sleevless,null,cotton,null,null,animal,No
Casual,Average,0-2.5,L,Spring,boat-neck,sleevless,natural,cotton,null,lace,solid,No
cute,low,2.5-5,free,Summer,o-neck,sleevless,null,null,chiffon,null,print,No
Casual,low,2.5-5,free,Summer,turndowncollor,sleevless,natural,cotton,null,null,solid,Yes
Casual,Average,2.5-5,L,winter,v-neck,short,empire,polyster,null,ruffles,solid,Yes
vintage,Average,2.5-5,free,winter,o-neck,short,null,chiffonfabric,chiffon,null,print,Yes
cute,low,2.5-5,L,Summer,o-neck,sleevless,natural,cotton,chiffon,sashes,solid,No
Casual,Average,2.5-5,M,Summer,turndowncollor,sleevless,natural,chiffonfabric,chiffon,null,solid,Yes
vintage,Medium,0-2.5,S,Winter,turndowncollor,halfsleeve,natural,cotton,broadcloth,null,plaid,Yes
Sexy,low,2.5-5,free,Summer,turndowncollor,sleevless,natural,cotton,null,null,solid,No
vintage,High,0-2.5,L,Summer,o-neck,short,natural,cotton,null,null,print,Yes
Casual,low,0-2.5,free,Spring,v-neck,threequarter,null,silk,null,lace,null,No
Sexy,Average,0-2.5,S,Automn,slash-neck,short,natural,null,null,lace,solid,Yes
Casual,Low,0-2.5,free,Spring,o-neck,short,natural,null,null,hollowout,solid,Yes
cute,Medium,2.5-5,free,Winter,o-neck,sleevless,natural,silk,null,lace,solid,No
Casual,Low,2.5-5,free,Summer,o-neck,sleevless,null,null,null,null,print,Yes
Sexy,Low,2.5-5,free,Spring,v-neck,sleevless,null,null,null,sequined,solid,No
Casual,Average,2.5-5,L,Winter,o-neck,short,natural,cotton,null,bow,patchwork,Yes
vintage,Average,0-2.5,S,Spring,o-neck,full,natural,mix,chiffon,embroidary,print,Yes
Casual,Average,2.5-5,free,Automn,boat-neck,full,null,null,null,null,solid,No
vintage,Average,2.5-5,L,Winter,o-neck,sleevless,natural,cotton,null,null,patchwork,Yes
cute,Average,0-2.5,XL,Spring,boat-neck,full,null,cotton,worsted,applique,dot,No
Casual,Average,0-2.5,L,Winter,open,short,natural,mix,poplin,applique,solid,No
sexy,Medium,2.5-5,M,Winter,o-neck,sleevless,empire,polyster,null,bow,solid,Yes
Brief,Average,2.5-5,free,Summer,slash-neck,sleevless,natural,null,null,null,solid,Yes
Casual,High,2.5-5,S,Spring,o-neck,threequarter,natural,null,null,null,dot,No
Brief,Average,2.5-5,free,Winter,o-neck,full,natural,mix,null,sashes,solid,Yes
Casual,Low,2.5-5,free,Winter,o-neck,full,natural,mix,worsted,applique,solid,Yes
Casual,Low,2.5-5,XL,Summer,o-neck,short,empire,mix,chiffon,sashes,geometric,Yes
Sexy,Medium,2.5-5,L,Summer,o-neck,short,natural,spandex,jersey,lace,solid,Yes
Casual,Average,2.5-5,M,Winter,v-neck,sleevless,natural,null,chiffon,button,striped,Yes
work,Average,0-2.5,S,Automn,o-neck,sleevless,natural,linen,null,null,patchwork,Yes
Casual,Low,0-2.5,L,Winter,o-neck,sleevless,empire,polyster,null,null,leopard,Yes
cute,low,2.5-5,L,Winter,o-neck,threequarter,natural,silk,chiffon,sashes,print,Yes
Brief,Average,2.5-5,M,Spring,o-neck,full,natural,mix,worsted,sequined,patchwork,No
Sexy,low,2.5-5,free,Automn,o-neck,full,empire,cotton,null,null,leopard,Yes
cute,low,0-2.5,free,Summer,peterpan-collor,short,empire,cotton,broadcloth,applique,print,Yes
Casual,Average,2.5-5,free,Summer,o-neck,short,natural,cotton,null,null,solid,No
Sexy,low,2.5-5,M,Winter,slash-neck,sleevless,null,nylon,null,sashes,solid,No
Casual,low,2.5-5,free,Spring,o-neck,sleevless,empire,cotton,chiffon,null,floral,Yes
Casual,Medium,2.5-5,M,Winter,peterpan-collor,short,natural,polyster,chiffon,lace,patchwork,Yes
Sexy,low,2.5-5,free,Winter,v-neck,sleevless,natural,silk,worsted,lace,solid,No
bohemian,Average,0-2.5,L,Winter,turndowncollor,full,natural,mix,null,null,solid,Yes
Casual,Low,0-2.5,free,Summer,o-neck,full,natural,cotton,null,null,patchwork,Yes
cute,Medium,2.5-5,free,Spring,slash-neck,sleevless,natural,polyster,chiffon,sashes,solid,No
Sexy,Average,0-2.5,S,Automn,v-neck,sleevless,empire,cotton,null,beading,solid,Yes
Casual,Low,2.5-5,S,Spring,o-neck,full,natural,cotton,null,null,solid,No
vintage,Medium,2.5-5,free,Spring,turndowncollor,sleevless,natural,mix,null,lace,solid,No
work,low,2.5-5,free,Summer,o-neck,full,empire,cotton,null,null,solid,Yes
cute,Average,2.5-5,M,Summer,o-neck,short,natural,cotton,null,rivet,solid,Yes
cute,Average,0-2.5,M,Summer,o-neck,short,natural,cotton,chiffon,null,print,Yes
Casual,Average,2.5-5,M,winter,o-neck,full,null,null,null,null,animal,Yes
Casual,low,2.5-5,free,winter,o-neck,full,natural,polyster,null,applique,solid,No
party,Average,2.5-5,free,Summer,v-neck,sleevless,null,null,null,null,null,Yes
Casual,Average,0-2.5,free,Summer,v-neck,sleevless,natural,cotton,chiffon,null,patchwork,Yes
Sexy,Average,2.5-5,L,winter,o-neck,threequarter,natural,polyster,null,lace,geometric,Yes
Sexy,Average,2.5-5,free,Winter,o-neck,sleevless,natural,polyster,null,embroidary,solid,Yes
Casual,Average,2.5-5,S,Summer,v-neck,short,natural,cotton,null,null,dot,Yes
Casual,Average,2.5-5,M,Automn,v-neck,full,null,null,chiffon,sashes,null,No
Casual,Average,2.5-5,XL,Automn,o-neck,short,natural,chiffonfabric,chiffon,null,null,Yes
Sexy,Average,2.5-5,M,Summer,v-neck,sleevless,empire,cotton,null,sequined,solid,No
work,Average,2.5-5,L,Summer,slash-neck,short,natural,cotton,null,null,solid,Yes
Casual,Average,2.5-5,M,Summer,peterpan-collor,sleevless,null,null,null,null,null,Yes
vintage,Average,2.5-5,L,Automn,o-neck,sleevless,empire,null,worsted,null,solid,Yes
Casual,Average,0-2.5,M,Summer,o-neck,threequarter,natural,nylon,broadcloth,null,solid,No
cute,Average,2.5-5,L,Summer,o-neck,sleevless,natural,cotton,worsted,null,print,Yes
bohemian,Low,2.5-5,free,Winter,o-neck,short,natural,nylon,null,sashes,print,Yes
Casual,low,2.5-5,free,Spring,slash-neck,sleevless,empire,spandex,null,null,striped,No
Casual,Average,2.5-5,M,Winter,o-neck,sleevless,natural,null,chiffon,sashes,solid,No
Casual,Average,2.5-5,free,Summer,o-neck,sleevless,natural,cotton,worsted,null,striped,Yes
work,low,2.5-5,M,Winter,v-neck,threequarter,null,null,null,null,patchwork,Yes
Casual,Average,2.5-5,S,Spring,boat-neck,full,natural,cotton,null,lace,patchwork,No
Casual,Average,2.5-5,L,Automn,o-neck,halfsleeve,natural,null,dobby,lace,animal,Yes
sexy,Low,2.5-5,M,Automn,open,short,natural,lace,null,lace,print,Yes
Casual,Low,2.5-5,free,Summer,o-neck,full,natural,cotton,worsted,lace,solid,No
Casual,low,2.5-5,L,Winter,o-neck,full,null,cotton,null,null,null,Yes
Casual,Average,2.5-5,M,Spring,o-neck,sleevless,natural,null,chiffon,sashes,solid,No
Casual,low,0-2.5,free,Automn,peterpan-collor,threequarter,empire,null,null,null,null,Yes
Casual,Average,2.5-5,S,Spring,o-neck,halfsleeve,empire,null,chiffon,null,null,No
Casual,Average,0-2.5,S,Summer,o-neck,sleevless,empire,cotton,null,null,solid,Yes
Casual,low,2.5-5,free,Summer,o-neck,sleevless,natural,cotton,null,null,print,No
Casual,Average,2.5-5,S,Winter,o-neck,sleevless,empire,polyster,chiffon,null,plaid,Yes
Sexy,very-high,0-2.5,free,Winter,v-neck,sleevless,natural,polyster,knitting,null,solid,Yes
Casual,low,2.5-5,free,Summer,o-neck,sleevless,natural,polyster,null,sashes,print,Yes
Casual,Average,2.5-5,M,Automn,v-neck,short,null,null,chiffon,embroidary,print,No
Casual,Average,2.5-5,free,Summer,v-neck,sleevless,null,modal,null,null,patchwork,Yes
Sexy,low,2.5-5,M,Automn,v-neck,full,natural,cotton,null,null,print,No
Casual,Average,2.5-5,free,Winter,v-neck,full,natural,cotton,flannel,null,striped,Yes
Casual,Average,2.5-5,M,Winter,v-neck,full,natural,chiffonfabric,chiffon,null,null,Yes
Casual,low,2.5-5,S,Spring,o-neck,sleevless,natural,chiffonfabric,null,null,print,Yes
cute,Average,0-2.5,M,Winter,o-neck,short,natural,polyster,chiffon,sashes,solid,Yes
Casual,low,2.5-5,free,Spring,o-neck,sleevless,null,chiffonfabric,chiffon,null,print,No
Casual,Average,2.5-5,M,Automn,o-neck,short,empire,polyster,null,applique,dot,Yes
bohemian,Average,2.5-5,M,Spring,slash-neck,sleevless,empire,null,chiffon,ruffles,solid,No
Casual,Low,2.5-5,free,winter,o-neck,sleevless,empire,silk,null,sashes,print,No
Casual,Average,2.5-5,L,Summer,o-neck,sleevless,natural,silk,chiffon,beading,solid,Yes
Casual,Medium,2.5-5,M,winter,o-neck,full,natural,cashmere,null,null,solid,No
Casual,Average,2.5-5,M,winter,v-neck,sleevless,empire,polyster,chiffon,applique,print,Yes
Sexy,Average,2.5-5,M,winter,v-neck,sleevless,natural,polyster,broadcloth,null,patchwork,Yes
Casual,Average,2.5-5,M,winter,v-neck,short,natural,null,null,null,solid,Yes
Casual,Average,2.5-5,M,winter,o-neck,threequarter,natural,null,null,null,print,No
Casual,Average,0-2.5,M,winter,o-neck,full,natural,cotton,jersey,feathers,solid,No
Casual,low,2.5-5,M,Summer,o-neck,sleevless,natural,cotton,null,sashes,striped,Yes
Casual,Average,2.5-5,L,Spring,v-neck,halfsleeve,natural,null,broadcloth,null,print,No
Casual,low,2.5-5,free,Summer,o-neck,full,natural,cotton,null,button,solid,Yes
Casual,Average,2.5-5,M,Summer,o-neck,sleevless,natural,polyster,null,null,character,Yes
Casual,low,2.5-5,M,Winter,o-neck,short,natural,chiffonfabric,chiffon,null,solid,Yes
Casual,low,2.5-5,S,summer,o-neck,full,natural,cotton,null,null,patchwork,Yes
